Tournament/Split,League,Date,Game,Map,Team 1,Team 2,T1A1,T1A1P,T1A2,T1A2P,T1A3,T1A3P,T1A4,T1A4P,T1A5,T1A5P,T2A1,T2A1P,T2A2,T2A2P,T2A3,T2A3P,T2A4,T2A4P,T2A5,T2A5P,Winner,Loser
Champions Tour 2025: Americas Kickoff Round 1,Americas,"Jan 16, 2025",2,Bind,MIBR,100T,Brimstone,xenom,Cypher,cortezia,Deadlock,artzin,Skye,nzr,Raze,aspas,Brimstone,Cryo,Viper,zander,Gekko,Boostio,Fade,eeiu,Raze,Asuna,100T,MIBR
Champions Tour 2025: China Kickoff Quarters,China,"Jan 17, 2025",1,Pearl,TE,DRG,Astra,LuoK1ng,Killjoy,heybay,Yoru,FengF,Sova,Biank,Neon,Kai,Astra,Flex1n,Killjoy,vo0kashu,KAY/O,Nicc,Fade,SpiritZ1,Jett,TvirusLuke,TE,DRG
Champions Tour 2025: China Kickoff Quarters,China,"Jan 17, 2025",2,Abyss,TE,DRG,Astra,LuoK1ng,Cypher,FengF,KAY/O,heybay,Sova,Biank,Jett,Kai,Astra,Flex1n,Omen,vo0kashu,KAY/O,Nicc,Sova,SpiritZ1,Jett,TvirusLuke,TE,DRG
Champions Tour 2025: China Kickoff Quarters,China,"Jan 17, 2025",1,Split,EDG,NOVA,Omen,Smoggy,Viper,CHICHOO,Tejo,S1Mon,Skye,nobody,Raze,ZmjjKK,Astra,Ezeir,Vyse,GuanG,Deadlock,CB,Skye,o0o0o,Raze,SWERL,EDG,NOVA
Champions Tour 2025: China Kickoff Quarters,China,"Jan 17, 2025",2,Fracture,EDG,NOVA,Brimstone,Smoggy,Killjoy,CHICHOO,Breach,S1Mon,Fade,nobody,Neon,ZmjjKK,Brimstone,Ezeir,Cypher,GuanG,Neon,CB,Breach,o0o0o,Raze,SWERL,EDG,NOVA
Champions Tour 2025: EMEA Kickoff Quarters,EMEA,"Jan 17, 2025",1,Abyss,FNC,BBL,Astra,Chronicle,Omen,Boaster,Tejo,Alfajer,Sova,crashies,Yoru,kaajak,Astra,PROFEK,Sage,vakk,Breach,Jamppi,Sova,sociablEE,Yoru,LewN,BBL,FNC
Champions Tour 2025: EMEA Kickoff Quarters,EMEA,"Jan 17, 2025",2,Fracture,FNC,BBL,Brimstone,Boaster,Chamber,Alfajer,Breach,Chronicle,Sova,crashies,Raze,kaajak,Astra,PROFEK,Cypher,vakk,Yoru,sociablEE,Breach,Jamppi,Raze,LewN,FNC,BBL
Champions Tour 2025: EMEA Kickoff Quarters,EMEA,"Jan 17, 2025",3,Split,FNC,BBL,Omen,Boaster,Cypher,Chronicle,Yoru,kaajak,Breach,crashies,Raze,Alfajer,Omen,PROFEK,Astra,vakk,Yoru,LewN,Fade,Jamppi,Raze,sociablEE,BBL,FNC
Champions Tour 2025: EMEA Kickoff Quarters,EMEA,"Jan 17, 2025",1,Haven,VIT,KC,Omen,Kicks,Cypher,Less,Iso,Sayf,Sova,trexx,Yoru,Derke,Omen,SUYGETSU,Killjoy,Elite,Harbor,saadhak,Fade,avez,Yoru,marteen,VIT,KC
Champions Tour 2025: EMEA Kickoff Quarters,EMEA,"Jan 17, 2025",2,Bind,VIT,KC,Brimstone,trexx,Viper,Less,Tejo,Sayf,Skye,Kicks,Raze,Derke,Astra,SUYGETSU,Vyse,Elite,Deadlock,saadhak,Gekko,avez,Yoru,marteen,KC,VIT
Champions Tour 2025: EMEA Kickoff Quarters,EMEA,"Jan 17, 2025",2,Abyss,VIT,KC,Astra,Less,Breach,Kicks,Tejo,Sayf,Sova,trexx,Jett,Derke,Astra,SUYGETSU,Vyse,Elite,Harbor,saadhak,Fade,avez,Yoru,marteen,VIT,KC
Champions Tour 2025: Americas Kickoff Round 1,Americas,"Jan 17, 2025",1,Haven,2G,FUR,Omen,lz,Vyse,gobera,Breach,pryze,Tejo,Zap,Yoru,silentzz,Clove,jakee,Cypher,Add3r,Breach,bdog,Tejo,stellar,Jett,penny,FUR,2G
Champions Tour 2025: Americas Kickoff Round 1,Americas,"Jan 17, 2025",2,Lotus,2G,FUR,Omen,lz,Vyse,gobera,Breach,pryze,Tejo,Zap,Raze,silentzz,Omen,jakee,Vyse,Add3r,Breach,bdog,Tejo,stellar,Raze,penny,FUR,2G
